time_delta,src_ip,dst_ip,dst_port,dns,sni
0.017682,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.0,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.0,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.000425,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.0,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.000205,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.000103,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.000122,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.0,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.0,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.0,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.00027,192.168.0.194,43.224.1.142,443,NONE,NONE
8.5e-05,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.0,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.000215,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.0,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.0,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.0,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.000432,192.168.0.194,43.224.1.142,443,NONE,NONE
0.015948,192.168.0.194,43.224.1.142,443,NONE,NONE
0.807659,192.168.0.196,224.0.0.251,5353,NONE,NONE
0.001613,192.168.0.196,224.0.0.251,5353,NONE,NONE
0.0,192.168.0.196,224.0.0.251,5353,NONE,NONE
0.0,192.168.0.196,224.0.0.251,5353,NONE,NONE
0.0,192.168.0.196,224.0.0.251,5353,NONE,NONE
0.0,192.168.0.196,224.0.0.251,5353,NONE,NONE
0.033419,192.168.0.192,224.0.0.251,5353,NONE,NONE
0.060133,192.168.0.192,224.0.0.251,5353,NONE,NONE
0.852399,192.168.0.194,192.168.3.101,7680,NONE,NONE
0.232094,192.168.0.194,34.193.228.211,443,NONE,NONE
0.337085,34.193.228.211,192.168.0.194,55715,NONE,NONE
0.876435,192.168.0.195,224.0.0.251,5353,NONE,NONE
0.025053,104.90.5.17,192.168.0.194,49153,NONE,NONE
0.037544,104.90.5.17,192.168.0.194,49153,NONE,NONE
